"","Age","Education"," Country","Ethnicity","Nscore","Escore","Oscore","Ascore","Cscore","Impulsive","SS","Class"
"1",0.49788,-0.05921,0.24923,-0.31685,-0.34799,0.16767,-0.97631,0.76096,0.41594,-1.37983,-1.18084,0
"2",1.09449,0.45468,-0.28519,-1.10702,0.22393,0.80523,-0.01928,0.76096,0.41594,0.19268,0.07987,0
"3",-0.95197,0.45468,0.96082,-0.31685,-0.24649,0.16767,-0.71727,1.61108,1.13407,0.19268,-1.18084,0
"4",1.82213,0.45468,0.96082,-0.31685,-0.79151,0.32197,0.44585,-1.47955,1.46191,-0.21712,0.07987,0
"5",-0.07854,-0.61113,0.96082,-0.31685,-0.58016,1.58487,0.58331,0.13136,0.41594,1.29221,1.92173,0
"6",-0.95197,-0.61113,-0.57009,-0.31685,-1.1943,0.80523,0.88309,0.94156,0.41594,-0.21712,0.7654,0
"7",1.09449,-1.22751,0.24923,-0.31685,-0.46725,1.11406,-0.31776,1.11406,0.12331,-2.55524,-0.84637,0
"8",-0.95197,0.45468,0.96082,-0.31685,-0.05188,1.2861,0.58331,0.13136,0.41594,0.88113,0.07987,0
"9",1.09449,-0.61113,0.24923,-0.31685,0.31287,0.63779,-1.11902,0.28783,1.46191,-0.71126,-0.84637,0
"10",-0.95197,-0.61113,-0.28519,-0.31685,-1.1943,1.11406,1.24033,-1.6209,-0.65253,0.52975,1.2247,0
"11",0.49788,0.45468,-0.57009,-0.31685,-0.05188,-0.94779,0.29338,1.11406,-0.89891,0.88113,-0.21575,0
"12",-0.07854,1.98437,0.96082,-0.31685,-1.43907,0.80523,-0.01928,2.46262,-0.27607,-0.21712,-0.21575,0
"13",-0.95197,0.45468,0.96082,-0.31685,0.41667,-0.15487,-0.31776,2.23427,1.13407,-1.37983,-0.52593,0
"14",-0.95197,1.16365,0.96082,-1.10702,0.41667,-0.80615,-0.58331,0.13136,-0.40581,-1.37983,-1.54858,0
"15",-0.07854,-2.43591,0.96082,-0.31685,0.62967,0.00332,1.24033,1.81866,0.93949,1.86203,1.92173,0
"16",-0.07854,0.45468,0.96082,-0.31685,-0.14882,0.47617,-0.45174,-0.76096,0.93949,0.52975,-0.52593,0
"17",1.09449,-0.05921,0.96082,-0.31685,-0.58016,-0.57545,-1.27553,0.94156,0.93949,-1.37983,-2.07848,0
"18",1.09449,1.16365,0.96082,-0.31685,-0.05188,0.00332,0.14143,0.94156,0.93949,0.19268,0.40148,0
"19",1.09449,-1.7379,0.96082,-0.31685,-1.05308,-0.69509,-1.11902,1.2861,0.41594,-0.71126,-1.18084,0
"20",0.49788,1.16365,-0.28519,-0.31685,-0.24649,-1.7625,-0.01928,-0.30172,0.25953,-0.21712,-1.54858,0
"21",-0.07854,1.98437,0.21128,-0.31685,-0.79151,1.45421,1.88511,-0.91699,-0.40581,1.29221,0.40148,0
"22",-0.95197,-0.61113,-0.57009,-0.31685,1.72012,0.32197,-1.11902,-0.45321,-2.42317,2.90161,-0.21575,0
"23",0.49788,-0.61113,-0.57009,-0.31685,1.02119,1.11406,-0.31776,-1.21213,0.58489,0.88113,1.2247,0
"24",1.09449,-0.05921,0.96082,-0.31685,0.04257,-0.80615,-0.01928,0.43852,-0.14277,-0.71126,-0.84637,0
"25",1.09449,-1.43719,0.24923,-0.31685,-0.34799,-0.69509,-1.55521,0.43852,0.58489,-2.55524,-2.07848,0
"26",-0.95197,1.16365,0.96082,-0.31685,1.60383,-1.50796,-0.17779,0.28783,-0.40581,-0.71126,-1.54858,0
"27",1.82213,-0.05921,0.96082,-0.31685,-0.79151,-0.57545,0.29338,0.28783,-1.13788,1.86203,0.40148,0
"28",-0.07854,0.45468,0.96082,-0.31685,0.04257,0.16767,0.29338,2.03972,1.81175,0.52975,-1.18084,0
"29",0.49788,-0.05921,0.24923,-0.31685,0.62967,2.57309,-0.97631,0.76096,1.13407,-1.37983,-1.54858,0
"30",-0.07854,0.45468,0.96082,-0.31685,0.62967,0.16767,-0.17779,-0.30172,0.12331,0.19268,-0.52593,0
"31",0.49788,-0.05921,0.96082,-0.31685,-0.05188,-1.09207,-2.63199,-0.91699,0.25953,-1.37983,-1.54858,0
"32",1.09449,-2.43591,-0.09765,-0.31685,-0.92104,0.63779,-0.97631,0.94156,0.25953,-1.37983,-2.07848,0
"33",0.49788,0.45468,0.96082,-0.31685,0.82562,0.00332,1.06238,1.81866,-0.40581,-0.21712,-0.21575,0
"34",-0.95197,0.45468,0.96082,-0.22166,-0.92104,-0.15487,-0.84732,-0.76096,1.30612,-0.71126,-0.21575,0
"35",1.09449,-0.05921,0.96082,-0.31685,0.04257,0.63779,-1.68062,-1.07533,-0.00665,-0.71126,-1.18084,0
"36",-0.07854,-1.22751,0.96082,-0.31685,-1.55078,-0.30033,-0.45174,0.28783,-0.00665,-0.71126,-0.84637,0
"37",-0.07854,-1.22751,0.96082,-0.31685,-0.46725,0.16767,-2.63199,0.59042,1.13407,0.52975,-0.84637,0
"38",0.49788,-0.05921,-0.57009,-0.31685,0.82562,-0.94779,-0.17779,0.43852,0.58489,-0.71126,-0.84637,0
"39",1.09449,-0.61113,-0.57009,-0.31685,1.23461,-1.09207,-0.45174,-0.15487,0.7583,-0.71126,-0.21575,0
